scope,psc,tasks,scenarios,instance_count,optimal_count,optimal_rate_percent,mean_gap_percent,mean_solve_time_seconds,mean_iterations,mean_cp_calls,mean_cut_count
subgroup,L,10,10,30,30,100,0,0.13,4.03,133.4,19.97
subgroup,L,15,10,30,30,100,0,0.86,16.17,676.57,154.37
subgroup,L,20,10,30,30,100,0,4.41,45.03,1940.93,501.33
subgroup,L,25,10,30,30,100,0,151.22,162.17,8285.17,2427.07
subgroup,L,30,10,30,21,70,0.98,1672.29,592.43,37067.2,10054.4
subgroup,L,10,30,30,30,100,0,0.48,4.97,466.43,72.2
subgroup,L,15,30,30,30,100,0,2.82,16.77,1905.77,388.6
subgroup,L,20,30,30,30,100,0,34.51,57.97,7859.13,2026.5
subgroup,L,25,30,30,28,93.33,0.17,682.96,265.6,43378.37,11587.97
subgroup,L,30,30,30,12,40,2.76,2668.59,410.03,76894.87,19764.6
subgroup,L,10,50,30,30,100,0,0.7,4.5,728.7,110.2
subgroup,L,15,50,30,30,100,0,8.03,20.73,3912.17,1016.3
subgroup,L,20,50,30,30,100,0,112.39,85.8,17392.07,4179.87
subgroup,L,25,50,30,29,96.67,0.13,1143.91,276.73,72848.63,18362.27
subgroup,L,30,50,30,10,33.33,3.19,2992.29,303.93,91608.93,24550.43
subgroup,L,10,100,30,30,100,0,3.07,6.37,1898.67,323.9
subgroup,L,15,100,30,30,100,0,22.77,20.83,7472.33,1767.57
subgroup,L,20,100,30,30,100,0,421.31,78.07,32599.33,9747.6
subgroup,L,25,100,30,15,50,2.24,2390.94,168.87,88064.43,24365.93
subgroup,L,30,100,30,3,10,6.48,3492.99,178.43,113544.03,32072.67
subgroup,L,10,500,30,29,96.67,0,32.52,7.2,10631.7,1945.43
subgroup,L,15,500,30,26,86.67,0,208.31,20.13,35290.47,9048.07
subgroup,L,20,500,30,12,40,1.53,2310.73,64.97,135960.43,42776.13
subgroup,L,25,500,30,1,3.33,7.1,3506.11,40.5,124266.17,34656.3
subgroup,L,30,500,30,0,0,9.97,3600,26.17,109475.43,30606.5
subgroup,L,10,1000,30,27,90,0,63.91,6.23,17740,3172.43
subgroup,L,15,1000,30,23,76.67,0,748.75,22.03,77665.23,19293.57
subgroup,L,20,1000,30,3,10,5.82,3330.22,40.33,198019.3,57951.13
subgroup,L,25,1000,30,0,0,8.62,3600,16.27,100872.6,30911.67
subgroup,L,30,1000,30,0,0,11.09,3600,9.17,69505.1,22154.8
psc_total,L,,,900,629,69.89,2,1226.91,99.08,49603.45,13866.99
subgroup,H,10,10,30,30,100,0,0.12,2.63,95.3,7.6
subgroup,H,15,10,30,30,100,0,0.94,10.9,632.27,78.87
subgroup,H,20,10,30,30,100,0,4.79,20.6,1649.73,169.5
subgroup,H,25,10,30,30,100,0,20.97,59.33,6293.3,494.63
subgroup,H,30,10,30,25,83.33,0.65,885.94,739.47,106342.53,9580
subgroup,H,10,30,30,30,100,0,0.61,4.3,450.2,46.93
subgroup,H,15,30,30,30,100,0,3.62,10.2,1622.63,197.07
subgroup,H,20,30,30,30,100,0,39.71,44.2,10683.37,1248.53
subgroup,H,25,30,30,30,100,0,461.05,196.37,61047.13,7007.03
subgroup,H,30,30,30,23,76.67,1.1,1280.55,394.73,173506,14389.3
subgroup,H,10,50,30,30,100,0,1.04,3.53,648.37,63.9
subgroup,H,15,50,30,30,100,0,5.67,9.4,2465.3,277.8
subgroup,H,20,50,30,30,100,0,33.32,24.37,9762.27,920.97
subgroup,H,25,50,30,27,90,0.37,583.58,161.8,83222.43,8562.67
subgroup,H,30,50,30,9,30,1.58,1825.72,368.2,260401.37,21717.67
subgroup,H,10,100,30,30,100,0,4.61,4.27,1488.13,143.47
subgroup,H,15,100,30,28,93.33,0,24.69,11.5,6378.07,700.1
subgroup,H,20,100,30,17,56.67,0,355.84,68.37,51354.93,7103.9
subgroup,H,25,100,30,11,36.67,0.74,1138.4,110.03,106664.6,12156.1
subgroup,H,30,100,30,3,10,3.23,2375.88,169.33,267300.67,20765.33
subgroup,H,10,500,30,30,100,0,66.35,5.03,8801.8,827.27
subgroup,H,15,500,30,20,66.67,0,293.65,11.1,28272.57,2780.9
subgroup,H,20,500,30,8,26.67,1.39,1790.17,30.73,122297.1,14610.6
subgroup,H,25,500,30,5,16.67,2.44,3069.28,23.37,123013.27,11963.67
subgroup,H,30,500,30,0,0,4.86,3600,11.13,96351.2,7837.13
subgroup,H,10,1000,30,28,93.33,0,139.57,4.7,15440.27,1259.77
subgroup,H,15,1000,30,13,43.33,0.12,1144.91,11.57,62294.3,5926.2
subgroup,H,20,1000,30,6,20,1.69,2940.96,18.1,144455.97,14475.83
subgroup,H,25,1000,30,1,3.33,6.09,3594.42,5.5,53583.4,5349.2
subgroup,H,30,1000,30,0,0,14.99,3600,0.03,550.53,63.53
psc_total,H,,,900,614,68.22,1.31,976.21,84.49,60235.63,5690.85
all,All,,,1800,1243,69.06,1.66,1101.56,91.79,54919.54,9778.92
